thicken,diverticulitis
constipation,diverticulitis
extreme-exhaustion,pneumonia-aspiration
seizure,pneumonia-aspiration
dysuria,diverticulitis
apyrexial,diverticulitis
abdominal-tenderness,diverticulitis
sore-to-touch,diverticulitis
unresponsiveness,pneumonia-aspiration
gurgle,pneumonia-aspiration
anorexia,diverticulitis
abscess-bacterial,diverticulitis
sinus-rhythm,diverticulitis
clonus,pneumonia-aspiration
mediastinal-shift,pneumonia-aspiration
hematuria,pyelonephritis
dullness,diverticulitis
monoclonal,diverticulitis
transaminitis,pneumonia-aspiration
unsteady-gait,diverticulitis
colic-abdominal,diverticulitis
red-blotches,diverticulitis
cough,pneumonia-aspiration
chill,pyelonephritis
stupor,pneumonia-aspiration
decreased-translucency,pneumonia-aspiration
nausea,pyelonephritis
hemiplegia,pneumonia-aspiration
myalgia,pyelonephritis
mental-status-changes,pneumonia-aspiration
